Algoritmo,PID,Turnaround,Carga de Trabalho
FCFS,1,164,CPU-Bound (164c)
FCFS,5,24,Memory-Bound (24c)
FCFS,7,25,IO-Bound (12c)
PRIORITY,1,194,CPU-Bound (164c)
PRIORITY,5,24,Memory-Bound (24c)
PRIORITY,7,25,IO-Bound (12c)
RR,1,175,CPU-Bound (164c)
RR,5,24,Memory-Bound (24c)
RR,7,25,IO-Bound (12c)
SJN,1,190,CPU-Bound (164c)
SJN,5,37,Memory-Bound (24c)
SJN,7,12,IO-Bound (12c)
